"id","indicator","biomass","logbiomass","composition","x","y","t2.loc","t2.scale","t1.loc","t1.scale","d.pz","t2.pz"
"181",0,0,NA,0,452000,1108000,3.35693513497426,2.25493397082727,0.720294972712014,-15.9984217262777,1.42657454262847,2.00233332739964
"182",0,0,NA,0,460000,1108000,3.25898308622101,2.22095686599509,0.718180550676753,-16.0518728473681,2.08494150986151,2.06687132051939
"183",0,0,NA,0,468000,1108000,3.47771428165412,2.29754568344973,0.715364650648021,-16.1233017051966,1.85850084221064,1.92241826902063
"184",0,0,NA,0,476000,1108000,3.62545802660718,2.35076719186088,0.712447125795225,-16.1976055891086,2.0305917713358,1.8241141413093
"185",0,0,NA,0,484000,1108000,3.86214562467605,2.43861027398263,0.710012861709548,-16.2598349531779,1.97254930278103,1.66522764085752
"186",0,0,NA,0.00666666666666667,3e+05,1100000,6.35774713437924,3.59033872782714,2.19669072244103,4.27515059642499,-2.91587659518547,-0.22862101940541
"187",1,343.087846136382,5.83798652555986,0.0743243243243243,308000,1100000,5.5962456781413,1.20975468111666,0.981144339677671,6.36849690568126,-1.43145012949813,0.413411780373735
"188",1,345.102401305399,5.84384118836836,0.0333333333333333,316000,1100000,5.88298655761416,0.489852897488209,0.468268883678381,5.72978265119604,-2.35168395108768,0.181686182324969
"189",0,0,NA,0,324000,1100000,5.29441352230089,3.04478363050545,0.691008479344277,-16.7531256830331,-1.05777842200728,0.6472086023733
"190",1,11.2801089693423,2.42304090642594,0.0131578947368421,332000,1100000,5.18102525306535,2.66271643745231,1.71767900951294,5.11870852156483,-0.750249540126602,0.732765961807661
"191",1,103.254644984708,4.63719821857458,0.00675675675675676,340000,1100000,5.64133688048083,2.10926083079676,0.533834503870955,4.46880863203061,-1.8264945932297,0.37764419070032
"192",0,0,NA,0,348000,1100000,5.22448885181919,3.0119614691455,0.693457084285445,-16.6888118605362,-0.297679756674959,0.700104732194255
"193",1,200.517368448914,5.30090086867521,0.0202702702702703,356000,1100000,4.98149187790354,1.27781138867629,0.949662016917789,5.82801401318484,1.02385801149426,0.880712554153989
"194",0,0,NA,0,364000,1100000,5.61239963933647,3.19861431504079,0.696144424548461,-16.6184884006684,-0.724103416122631,0.400625030662231
"195",1,161.172003483352,5.08247213932758,0.0135135135135135,372000,1100000,5.34776470440638,1.13883191590417,0.50537965040541,5.23049358525473,0.144516654877704,0.606547759407442
"196",1,202.609406386973,5.31128001910293,0.0133333333333333,380000,1100000,5.95788748314668,1.85969476603407,0.268976811278576,5.35176837630163,-1.78653290978591,0.119352957602575
